agegroup,Date,Sex,Active_Cases,Active_numbers,Active_Numbers_Female,Active_Numbers_Male,Cases,Cases_Female,Cases_Male,Daily_Recovered,Number of Records,Zero
20-29,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
30-39,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
50-59,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,28/01/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,28/01/2020,Male,1,1,0,1,,0,,,1,0
60-69,28/01/2020,Male,1,1,0,1,1,0,1,,1,0
70-79,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,28/01/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,28/01/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
30-39,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
50-59,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,29/01/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,29/01/2020,Male,1,1,0,1,,0,,,1,0
60-69,29/01/2020,Male,1,1,0,1,,0,,,1,0
70-79,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,29/01/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,29/01/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
30-39,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,30/01/2020,Female,1,1,1,0,1,1,0,,1,0
50-59,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,30/01/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,30/01/2020,Male,1,1,0,1,,0,,,1,0
60-69,30/01/2020,Male,1,1,0,1,,0,,,1,0
70-79,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,30/01/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,30/01/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,31/01/2020,Female,1,1,1,0,1,1,0,,1,0
30-39,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,31/01/2020,Female,1,1,1,0,,,0,,1,0
50-59,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,31/01/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,31/01/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,31/01/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,31/01/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,31/01/2020,Male,0,0,0,0,0,0,0,0,1,0
